e6896af0-a6b5-11e0-b446-00251188dd67,The National,United States of America,Alternative/Indie,133003806,1618737
cef21c3b-f0ba-4f40-89ec-f6238c874c0b,P!nk,N\A,Rap/Hip Hop,62460008,2344427
e6afb550-a6b5-11e0-b446-00251188dd67,David Guetta,France,Electronica/Dance,81096873,2590285
680687b6-94f6-c447-fe5b-4533fb937de6,Justin Bieber,Canada,Pop,48062594,1475808
88393833-745d-baef-a84c-edc4295e41e3,Miley Cyrus,United States of America,Pop,56365377,1849726
a0eee16a-ff9c-f9ae-0c38-d107026a1723,alt-J,England,Alternative/Indie,59984116,976857
996aa123-ec01-b2bb-d4e5-02f90f3ee150,Clean Bandit,England,Electronica/Dance,11477516,674121
e58df596-a6b5-11e0-b446-00251188dd67,Fall Out Boy,United States of America,Alternative/Indie,135131194,2560176
a3850e83-2c87-41db-b778-a8946aaa4b84,Frank Sinatra,United States of America,Pop,60120657,2201278
ea02818d-a6b5-11e0-b446-00251188dd67,System of a Down,United States of America,Rock,214767391,3349515
76d1a93c-ed13-0e03-05a1-2af5a2df9ea2,Frank Ocean,United States of America,Alternative/Indie,57263209,1053901
e22e4b1e-a6b5-11e0-b446-00251188dd67,Britney Spears,United States of America,Pop,186861607,3068975
18e61500-f9b1-4663-a6dd-508019297c08,The Smiths,England,Rock,146617432,2166100
d744284a-5c9e-48b8-84f1-6993a5df6728,AC/DC,Australia,Rock,127743405,2533969
3051dd31-c632-c9ed-1e8c-6e3b8909cd05,The Chainsmokers,United States of America,Electronica/Dance,13682049,622060
f27b1534-3cef-9a5a-df47-e4fd683f045d,Bob Dylan,United States of America,Rock,14543231,446913
e2969b00-a6b5-11e0-b446-00251188dd67,The Strokes,United States of America,Alternative/Indie,158215352,3113099
e5ef0b26-a6b5-11e0-b446-00251188dd67,The White Stripes,United States of America,Alternative/Indie,120847567,2799635
82047b8d-738e-4225-8ad9-76fe6f2a486c,Depeche Mode,England,Pop,153485325,2551897
ef2afd16-a6b5-11e0-b446-00251188dd67,Demi Lovato,United States of America,Pop,49238474,1151398
e736b397-a6b5-11e0-b446-00251188dd67,Paramore,United States of America,Alternative/Indie,172874863,2332383
3d2470dc-5806-d847-b45a-243d4dbb60c9,Childish Gambino,United States of America,Rap/Hip Hop,38160082,700717
af1b26a6-f90c-d8b4-23cd-8a06c2d491e6,R.E.M.,United States of America,Rock,86696036,2747126
765bffbd-6af9-455b-9988-e960f822dd4d,Charlie Puth,United States,Rap/Hip Hop,5365331,352783
8f7f0ad0-8dcc-e722-4224-189de64c3433,Tove Lo,Sweden,Alternative/Indie,20392073,636400
f1c9b28f-a6b5-11e0-b446-00251188dd67,Bruno Mars,United States of America,Pop,47810462,1661283
358e283a-9104-4fa5-923d-9f9cad892dff,Elvis Presley,United States of America,Rock,63839891,2237275
2d3c5003-d214-49a1-8ca7-71d7b4499991,Beck,N\A,N\A,96211764,2789340
f0377eba-a6b5-11e0-b446-00251188dd67,Florence + the Machine,England,Alternative/Indie,155444700,2257978
2c3f512c-c6ff-e70a-66f1-79aa46d07971,Kings of Leon,United States of America,Alternative/Indie,162611462,3293893
c590f5e6-2e27-3253-76a0-0866590364cc,Elton John,England,Pop,44775762,2340427
17e14bb3-02bf-5e02-3af6-2a04cab059e6,Weezer,United States of America,Alternative/Indie,97704416,2892582
ea05a4c3-a6b5-11e0-b446-00251188dd67,The Clash,England,Alternative/Indie,77192376,2193719
e7823a89-ff2d-88de-dcf4-cdde96713d53,Guns N' Roses,United States of America,Rock,109556126,3085960
620fa4d7-3420-f564-b70d-c6cd00b732b8,Blur,England,Rock,83324770,2733433
ceb42019-ecc9-b811-6012-77047c6506a1,Twenty One Pilots,United States of America,Alternative/Indie,30378566,587661
f872be88-9ef2-f97c-0814-29625ae464f7,blink-182,United States of America,Rock,166088710,2831557
c8f890e2-d819-7c24-cd05-ce9b40581a7a,MGMT,United States of America,Alternative/Indie,88316223,2627379
0f42be04-ca86-53e9-5915-5fa8abe85683,Madonna,United States of America,Pop,141386624,2943680
f1b95409-4f2e-ba3d-50dd-a3ae030ec563,Foster the People,United States of America,Alternative/Indie,51520109,1597108
d1b9dea0-0338-c18e-fae7-7a7b91006eb3,Grizzly Bear,United States of America,Alternative/Indie,50630640,1292666
ee5a63fc-a6b5-11e0-b446-00251188dd67,Bon Iver,United States of America,Alternative/Indie,110285815,1863851
4ec8fbc7-fa14-ebb0-168d-5244d6751d72,Black Sabbath,England,Rock,92881323,2317661
