ea02818d-a6b5-11e0-b446-00251188dd67,System of a Down,United States of America,Rock
76d1a93c-ed13-0e03-05a1-2af5a2df9ea2,Frank Ocean,United States of America,Alternative/Indie
e22e4b1e-a6b5-11e0-b446-00251188dd67,Britney Spears,United States of America,Pop
18e61500-f9b1-4663-a6dd-508019297c08,The Smiths,England,Rock
d744284a-5c9e-48b8-84f1-6993a5df6728,AC/DC,Australia,Rock
3051dd31-c632-c9ed-1e8c-6e3b8909cd05,The Chainsmokers,United States of America,Electronica/Dance
f27b1534-3cef-9a5a-df47-e4fd683f045d,Bob Dylan,United States of America,Rock
e2969b00-a6b5-11e0-b446-00251188dd67,The Strokes,United States of America,Alternative/Indie
e5ef0b26-a6b5-11e0-b446-00251188dd67,The White Stripes,United States of America,Alternative/Indie
82047b8d-738e-4225-8ad9-76fe6f2a486c,Depeche Mode,England,Pop
ef2afd16-a6b5-11e0-b446-00251188dd67,Demi Lovato,United States of America,Pop
e736b397-a6b5-11e0-b446-00251188dd67,Paramore,United States of America,Alternative/Indie
3d2470dc-5806-d847-b45a-243d4dbb60c9,Childish Gambino,United States of America,Rap/Hip Hop
af1b26a6-f90c-d8b4-23cd-8a06c2d491e6,R.E.M.,United States of America,Rock
765bffbd-6af9-455b-9988-e960f822dd4d,Charlie Puth,United States,Rap/Hip Hop
8f7f0ad0-8dcc-e722-4224-189de64c3433,Tove Lo,Sweden,Alternative/Indie
f1c9b28f-a6b5-11e0-b446-00251188dd67,Bruno Mars,United States of America,Pop
358e283a-9104-4fa5-923d-9f9cad892dff,Elvis Presley,United States of America,Rock
2d3c5003-d214-49a1-8ca7-71d7b4499991,Beck,N\A,N\A
f0377eba-a6b5-11e0-b446-00251188dd67,Florence + the Machine,England,Alternative/Indie
2c3f512c-c6ff-e70a-66f1-79aa46d07971,Kings of Leon,United States of America,Alternative/Indie
c590f5e6-2e27-3253-76a0-0866590364cc,Elton John,England,Pop
17e14bb3-02bf-5e02-3af6-2a04cab059e6,Weezer,United States of America,Alternative/Indie
ea05a4c3-a6b5-11e0-b446-00251188dd67,The Clash,England,Alternative/Indie
e7823a89-ff2d-88de-dcf4-cdde96713d53,Guns N' Roses,United States of America,Rock
620fa4d7-3420-f564-b70d-c6cd00b732b8,Blur,England,Rock
ceb42019-ecc9-b811-6012-77047c6506a1,Twenty One Pilots,United States of America,Alternative/Indie
f872be88-9ef2-f97c-0814-29625ae464f7,blink-182,United States of America,Rock
